,cls,codec,codec_path,is_raw,source,source_len,source_affix,source_entropy,input_len,input_entropy,bps,size,K,O,S,symbol_p_threshold,original_source
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0000040_ON_Source_Laplacian_16symbols_entropy0.0000040,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0000040,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0000040.zip,False,Source_Laplacian_16symbols_entropy0.0000040,16,Laplacian,3.999742506494794e-06,131072,0.0001407065546984111,0.0333251953125,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0000000_ON_Source_Laplacian_16symbols_entropy0.0000000,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0000000,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0000000.zip,False,Source_Laplacian_16symbols_entropy0.0000000,16,Laplacian,0.0,131072,0.0,0.033203125,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0157928_ON_Source_Laplacian_16symbols_entropy0.0157928,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0157928,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0157928.zip,False,Source_Laplacian_16symbols_entropy0.0157928,16,Laplacian,0.015792842022141543,131072,0.016040969117302323,0.05096435546875,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0105299_ON_Source_Laplacian_16symbols_entropy0.0105299,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0105299,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0105299.zip,False,Source_Laplacian_16symbols_entropy0.0105299,16,Laplacian,0.010529894663657242,131072,0.0108421324525162,0.04443359375,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0210558_ON_Source_Laplacian_16symbols_entropy0.0210558,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0210558,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0210558.zip,False,Source_Laplacian_16symbols_entropy0.0210558,16,Laplacian,0.021055789801005708,131072,0.021290566318978348,0.058349609375,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0263187_ON_Source_Laplacian_16symbols_entropy0.0263187,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0263187,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0263187.zip,False,Source_Laplacian_16symbols_entropy0.0263187,16,Laplacian,0.026318736658051924,131072,0.026499221430247483,0.06561279296875,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0315817_ON_Source_Laplacian_16symbols_entropy0.0315817,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0315817,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0315817.zip,False,Source_Laplacian_16symbols_entropy0.0315817,16,Laplacian,0.03158168391941189,131072,0.031965835286023044,0.07391357421875,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0368446_ON_Source_Laplacian_16symbols_entropy0.0368446,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0368446,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0368446.zip,False,Source_Laplacian_16symbols_entropy0.0368446,16,Laplacian,0.036844631716747185,131072,0.03717776079427527,0.0819091796875,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0052669_ON_Source_Laplacian_16symbols_entropy0.0052669,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0052669,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0052669.zip,False,Source_Laplacian_16symbols_entropy0.0052669,16,Laplacian,0.005266947314495147,131072,0.005453482641483325,0.03814697265625,256.0,,,,,
MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0421076_ON_Source_Laplacian_16symbols_entropy0.0421076,MarlinBaseTree,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0421076,MarlinBaseTree_is_raw-False_size-256_source-Source_Laplacian_16symbols_entropy0.0421076.zip,False,Source_Laplacian_16symbols_entropy0.0421076,16,Laplacian,0.04210757925561191,131072,0.04247387869104566,0.09075927734375,256.0,,,,,
